Date,Value,year,month,day
2019-07-17,501.7094444444445,2019,7,17
2019-07-18,502.0572222222223,2019,7,18
2019-07-19,502.9061111111112,2019,7,19
2019-07-20,501.4544444444445,2019,7,20
2019-07-21,501.4405555555557,2019,7,21
2019-07-22,503.1283333333333,2019,7,22
2019-07-23,503.1438888888889,2019,7,23
2019-07-24,514.7027777777778,2019,7,24
2019-07-25,539.7105555555555,2019,7,25
2019-07-26,539.5077777777777,2019,7,26
2019-07-27,537.5022222222223,2019,7,27
2019-07-28,537.3066666666667,2019,7,28
2019-07-29,512.5550000000002,2019,7,29
2019-07-30,512.5550000000002,2019,7,30
2019-07-31,511.5666666666668,2019,7,31
2019-08-01,512.2777777777777,2019,8,1
2019-08-02,512.8594444444444,2019,8,2
2019-08-03,512.7916666666666,2019,8,3
2019-08-04,517.8211111111111,2019,8,4
2019-08-05,516.3733333333333,2019,8,5
2019-08-06,516.7127777777778,2019,8,6
2019-08-07,516.9994444444444,2019,8,7
2019-08-08,516.8011111111113,2019,8,8
2019-08-09,505.038888888889,2019,8,9
2019-08-10,505.9244444444445,2019,8,10
2019-08-11,508.8411111111112,2019,8,11
2019-08-12,511.5488888888888,2019,8,12
2019-08-13,511.3822222222222,2019,8,13
2019-08-14,511.2288888888888,2019,8,14
2019-08-15,511.0972222222221,2019,8,15
2019-08-16,508.9777777777777,2019,8,16
2019-08-17,508.2272222222222,2019,8,17
2019-08-18,512.4655555555556,2019,8,18
2019-08-19,512.2016666666667,2019,8,19
2019-08-20,512.4827777777778,2019,8,20
2019-08-21,512.2038888888889,2019,8,21
2019-08-22,512.2038888888889,2019,8,22
2019-08-23,512.205,2019,8,23
2019-08-24,507.91666666666674,2019,8,24
2019-08-25,503.8688888888889,2019,8,25
2019-08-26,507.3672222222223,2019,8,26
2019-08-27,531.3661111111112,2019,8,27
2019-08-28,533.1133333333335,2019,8,28
2019-08-29,533.3005555555558,2019,8,29
2019-08-30,533.3000000000001,2019,8,30
2019-08-31,532.1383333333334,2019,8,31
2019-09-01,540.4366666666667,2019,9,1
2019-09-02,540.9611111111112,2019,9,2
2019-09-03,539.2394444444444,2019,9,3
2019-09-04,536.3427777777778,2019,9,4
2019-09-05,534.9694444444444,2019,9,5
2019-09-06,534.9955555555555,2019,9,6
2019-09-07,537.0572222222222,2019,9,7
2019-09-08,493.3344444444444,2019,9,8
2019-09-09,491.961111111111,2019,9,9
2019-09-10,491.64166666666665,2019,9,10
2019-09-11,486.4083333333333,2019,9,11
2019-09-12,482.23,2019,9,12
2019-09-13,479.30722222222215,2019,9,13
2019-09-14,477.9172222222221,2019,9,14
2019-09-15,482.1188888888889,2019,9,15
2019-09-16,483.968888888889,2019,9,16
2019-09-17,481.1522222222223,2019,9,17
2019-09-18,474.6055555555556,2019,9,18
2019-09-19,472.0538888888889,2019,9,19
2019-09-20,445.8155555555556,2019,9,20
2019-09-21,454.3822222222223,2019,9,21
2019-09-22,454.31277777777774,2019,9,22
