mean,Date,year,month,day
129.81458333333336,2018-10-05,2018,10,5
104.98708333333332,2018-10-06,2018,10,6
98.66499999999995,2018-10-07,2018,10,7
107.63791666666668,2018-10-08,2018,10,8
96.12958333333334,2018-10-09,2018,10,9
75.90708333333332,2018-10-10,2018,10,10
83.64250000000003,2018-10-11,2018,10,11
82.71208333333335,2018-10-12,2018,10,12
74.38833333333334,2018-10-13,2018,10,13
72.43791666666668,2018-10-14,2018,10,14
94.30916666666663,2018-10-15,2018,10,15
121.47624999999995,2018-10-16,2018,10,16
133.41999999999996,2018-10-17,2018,10,17
139.405,2018-10-18,2018,10,18
120.30125,2018-10-19,2018,10,19
97.22833333333334,2018-10-20,2018,10,20
87.29166666666667,2018-10-21,2018,10,21
115.03291666666672,2018-10-22,2018,10,22
106.03000000000002,2018-10-23,2018,10,23
147.13500000000008,2018-10-24,2018,10,24
155.57083333333335,2018-10-25,2018,10,25
127.47249999999993,2018-10-26,2018,10,26
141.31499999999997,2018-10-27,2018,10,27
143.10458333333338,2018-10-28,2018,10,28
180.4375,2018-10-29,2018,10,29
159.31958333333333,2018-10-30,2018,10,30
158.5741666666667,2018-10-31,2018,10,31
158.49916666666667,2018-11-01,2018,11,1
162.0149999999999,2018-11-02,2018,11,2
134.55458333333334,2018-11-03,2018,11,3
115.20166666666665,2018-11-04,2018,11,4
112.46500000000002,2018-11-05,2018,11,5
112.90499999999999,2018-11-06,2018,11,6
96.47125,2018-11-07,2018,11,7
91.19583333333334,2018-11-08,2018,11,8
98.35291666666664,2018-11-09,2018,11,9
92.98583333333333,2018-11-10,2018,11,10
84.83291666666663,2018-11-11,2018,11,11
82.22416666666668,2018-11-12,2018,11,12
90.9020833333333,2018-11-13,2018,11,13
108.47708333333328,2018-11-14,2018,11,14
87.41208333333334,2018-11-15,2018,11,15
92.5525,2018-11-16,2018,11,16
97.0333333333333,2018-11-17,2018,11,17
101.09624999999998,2018-11-18,2018,11,18
99.87416666666667,2018-11-19,2018,11,19
108.44750000000005,2018-11-20,2018,11,20
